HVS,source_id,x,x_err,y,y_err,z,z_err,u,u_err,v,v_err,w,w_err
1,577294697514301440,-67.154849,8.357172,-64.200411,9.088730,53.322800,7.545863,-561.991856,219.076539,-452.278868,149.882028,124.318889,237.965056
4,699811079173836928,-53.350119,6.932548,-11.943769,1.830735,43.192703,6.617368,-430.528042,55.810264,-45.864974,63.749035,348.639437,58.961249
5,1069326945513133952,-36.706486,3.305478,19.162898,2.215974,27.708340,3.201753,-402.038751,15.725639,295.393994,29.963567,415.109989,16.176815
6,3867267443277880320,-20.716490,1.554243,-25.085747,3.095741,47.908539,5.909651,-111.321640,73.624072,5.989707,57.045592,555.941870,37.198185
7,3799146650623432704,-10.981651,0.345280,-27.512438,3.321880,44.219476,5.336593,-38.298440,42.357262,-37.313504,30.304093,449.911780,19.776772
8,633599760258827776,-39.267910,5.787663,-19.303559,3.587065,38.571867,7.163714,-425.245530,43.114910,-20.168397,36.959950,209.554170,41.288299
9,3830584196322129920,-30.664651,3.539169,-47.821961,7.507981,51.875246,8.141075,39.833151,175.009160,-342.980312,177.311450,357.499449,137.237678
10,3926757653770374144,-12.372181,0.467065,-11.992787,1.317916,50.209865,5.515396,-143.138492,101.469665,-193.839925,76.418004,372.305115,24.631051
12,3809777626689513472,-23.362938,1.981176,-36.419087,4.734124,51.510990,6.693219,159.280293,250.986922,-29.307993,160.761714,552.536392,145.585900
13,3804790100211231232,-29.023637,3.849720,-63.638254,11.721052,81.819164,15.065826,-18.430990,378.792232,-167.893585,269.382728,413.897621,234.251337
14,3859275333773935616,-37.022523,4.627843,-54.252058,8.687377,82.402215,13.191729,-1544.827815,721.554587,585.628836,700.961815,355.720958,446.535550
15,3794074603484360704,-10.244197,0.316883,-37.105520,5.540474,54.972817,8.205254,-286.517105,114.286802,-280.102336,80.372566,197.769039,56.729986
16,3708104343359742976,-0.513028,1.227075,-26.194070,4.224249,65.355699,10.536388,-224.623957,159.051791,-269.463287,126.876331,294.705398,44.350784
17,1407293627068696064,2.598856,0.838284,35.954818,2.811382,32.776294,2.561220,210.879197,25.267961,192.324942,24.041466,381.882964,23.328683
18,2872564390598678016,-24.490013,2.265956,67.061180,9.283806,-34.743887,4.812749,-3.286233,121.436465,421.276136,61.721847,-173.300851,106.877673
19,3911105521632982528,-18.270489,1.610243,-41.763602,6.626539,87.266472,13.843079,373.154135,512.587832,-276.405662,475.296417,460.815711,229.416085
20,3800802102817768960,-12.788058,0.658161,-37.015438,5.221106,65.708815,9.265433,91.783385,231.027335,-306.301877,187.067606,291.394829,108.204470
21,834069905715968640,-46.860816,7.494239,10.230612,1.979167,59.986772,11.600742,-206.118931,121.677269,65.320025,223.990424,326.103305,90.077492
22,3897063727354575360,-12.487555,0.685180,-38.980495,6.118003,74.139787,11.633003,122.042988,333.044771,-204.081862,254.311559,454.072243,138.795311
23,2681450921590663168,36.931050,7.852876,76.375371,13.312454,-73.192285,12.761258,1285.802882,730.678679,-487.584498,638.525420,-380.939364,589.252796
24,3810351984075984896,-15.452649,1.018746,-30.463136,4.233471,44.078223,6.122672,17.017826,77.681268,-100.417970,58.468444,373.473425,42.762206
