HVS,source_id,cov_uu,cov_uv,cov_uw,cov_vv,cov_vw,cov_ww
1,577294697514301440,47127.682421,-13147.053206,36350.447933,22752.754511,12796.204817,55725.995859
4,699811079173836928,3103.629931,-390.999889,3096.058400,3965.011684,676.149033,3464.178763
5,1069326945513133952,244.464583,296.507576,29.474267,898.994309,-300.332728,256.235319
6,3867267443277880320,5400.786267,275.105521,1559.503477,3187.628412,1712.210888,1351.443353
7,3799146650623432704,1777.464208,289.680820,294.664266,905.201829,576.643801,386.920718
8,633599760258827776,1857.126358,175.581686,1578.531629,1371.958099,827.164355,1696.977825
9,3830584196322129920,29779.105085,-16586.636925,-2366.780140,30630.468160,21011.063801,18370.341358
10,3926757653770374144,10358.053931,4338.540106,1913.751328,5913.822056,1777.995880,619.503425
12,3809777626689513472,62232.940707,5511.619210,22299.211830,25045.620288,19321.264679,20313.926736
13,3804790100211231232,142546.245546,2689.766554,38545.850321,72022.362296,56709.126118,54030.761152
14,3859275333773935616,525447.820459,-172454.508197,70817.802885,486302.555329,259634.515854,195846.982651
15,3794074603484360704,13221.365378,4355.520746,3453.795264,6523.265947,4555.009584,3254.265319
16,3708104343359742976,26216.895104,11611.926251,1639.680551,16639.081375,5309.947662,1987.864999
17,1407293627068696064,679.193635,-330.770082,144.929488,579.062007,-517.745206,528.296034
18,2872564390598678016,14439.045299,3012.915913,-964.957252,3658.599341,5563.902526,11232.891558
19,3911105521632982528,263746.885141,-24817.715952,18846.093787,229163.010297,106602.728003,53299.716812
20,3800802102817768960,53087.004743,3948.822183,5943.980413,35034.102997,19972.820598,11742.591707
21,834069905715968640,15122.219701,-1890.014493,10062.078534,51737.548218,-10040.630978,8273.385092
22,3897063727354575360,111051.263651,14900.072428,14267.425418,67394.217513,36109.264799,19944.963949
23,2681450921590663168,522035.270454,-232092.757855,79079.237094,411306.896103,286253.038198,347489.341505
24,3810351984075984896,6176.202768,53.223792,1057.269588,3551.872126,2445.892486,1895.465009
