time x y z
-2.000000000000000000e+00 1.483042511632458726e+01 2.389975862329912104e+02 1.123915936826074784e+02
-1.995991983967935868e+00 1.487939874157917686e+01 2.389855019883725618e+02 1.120225999313279175e+02
-1.991983967935871735e+00 1.492837236683376645e+01 2.389734177437539131e+02 1.116536061800483566e+02
-1.987975951903807603e+00 1.497734599208835604e+01 2.389613334991352929e+02 1.112846124287687957e+02
-1.983967935871743471e+00 1.502631961734294563e+01 2.389492492545166442e+02 1.109156186774892348e+02
-1.979959919839679339e+00 1.507529725498777395e+01 2.389371042441632653e+02 1.105465749328423044e+02
-1.975951903807615206e+00 1.512467211926627186e+01 2.389189434260702001e+02 1.101725818448262117e+02
-1.971943887775551074e+00 1.517404698354476977e+01 2.389007826079771348e+02 1.097985887568101049e+02
-1.967935871743486942e+00 1.522342184782326591e+01 2.388826217898840980e+02 1.094245956687940122e+02
-1.963927855711422810e+00 1.527279671210176382e+01 2.388644609717910328e+02 1.090506025807779196e+02
-1.959919839679358677e+00 1.532216503629270221e+01 2.388461809922921191e+02 1.086766215629605909e+02
-1.955911823647294545e+00 1.537121289619326880e+01 2.388220621039058926e+02 1.083032319848834248e+02
-1.951903807615230413e+00 1.542026075609383540e+01 2.387979432155196946e+02 1.079298424068062587e+02
-1.947895791583166281e+00 1.546930861599440199e+01 2.387738243271334682e+02 1.075564528287290926e+02
-1.943887775551102148e+00 1.551835647589496858e+01 2.387497054387472701e+02 1.071830632506519265e+02
-1.939879759519038016e+00 1.556737267836214222e+01 2.387254113633476891e+02 1.068098598632731893e+02
-1.935871743486973884e+00 1.561536529048294319e+01 2.386954529078496137e+02 1.064426766418104648e+02
-1.931863727454909752e+00 1.566335790260374417e+01 2.386654944523515383e+02 1.060754934203477404e+02
-1.927855711422845619e+00 1.571135051472454514e+01 2.386355359968534628e+02 1.057083101988850018e+02
-1.923847695390781487e+00 1.575934312684534611e+01 2.386055775413553874e+02 1.053411269774222774e+02
-1.919839679358717355e+00 1.580727046037646133e+01 2.385753903571942658e+02 1.049743532219701336e+02
-1.915831663326653223e+00 1.585363110775511331e+01 2.385397136851199491e+02 1.046174066507717981e+02
-1.911823647294589090e+00 1.589999175513376706e+01 2.385040370130456324e+02 1.042604600795734768e+02
-1.907815631262524958e+00 1.594635240251241903e+01 2.384683603409712873e+02 1.039035135083751555e+02
-1.903807615230460826e+00 1.599271304989107101e+01 2.384326836688969706e+02 1.035465669371768200e+02
-1.899799599198396916e+00 1.603899356847238522e+01 2.383967277229914998e+02 1.031900192025691467e+02
-1.895791583166332561e+00 1.608375163990433165e+01 2.383554655742941577e+02 1.028410493631832452e+02
-1.891783567134268651e+00 1.612850971133627453e+01 2.383142034255967872e+02 1.024920795237973863e+02
-1.887775551102204519e+00 1.617326778276822097e+01 2.382729412768994166e+02 1.021431096844115132e+02
-1.883767535070140386e+00 1.621802585420016740e+01 2.382316791282020745e+02 1.017941398450256258e+02
-1.879759519038076254e+00 1.626269862598940108e+01 2.381900899861457788e+02 1.014454186612598505e+02
-1.875751503006012122e+00 1.630603503670953813e+01 2.381433779481329225e+02 1.011005930822089312e+02
-1.871743486973947990e+00 1.634937144742967519e+01 2.380966659101200946e+02 1.007557675031580260e+02
-1.867735470941883857e+00 1.639270785814981224e+01 2.380499538721072668e+02 1.004109419241071066e+02
-1.863727454909819725e+00 1.643604426886994929e+01 2.380032418340944105e+02 1.000661163450562015e+02
-1.859719438877755593e+00 1.647929382740670334e+01 2.379561577949410207e+02 9.972131259122531333e+01
-1.855711422845691461e+00 1.652138949264992362e+01 2.379041314549202468e+02 9.937679880103189589e+01
-1.851703406813627328e+00 1.656348515789314746e+01 2.378521051148994729e+02 9.903228501083847846e+01
-1.847695390781563196e+00 1.660558082313636774e+01 2.378000787748787275e+02 9.868777122064506102e+01
-1.843687374749499064e+00 1.664767648837959158e+01 2.377480524348579536e+02 9.834325743045164359e+01
