time x y z
-2.000000000000000000e+00 2.224316911599578894e+00 4.316067500925430345e+00 -2.133696833916554958e+00
-1.995991983967935868e+00 2.229465256480900326e+00 4.328962688301375650e+00 -2.136397167268942798e+00
-1.991983967935871735e+00 2.234613601362221758e+00 4.341857875677320955e+00 -2.139097500621331083e+00
-1.987975951903807603e+00 2.239761946243543633e+00 4.354753063053266260e+00 -2.141797833973718923e+00
-1.983967935871743471e+00 2.244910291124865065e+00 4.367648250429211565e+00 -2.144498167326106763e+00
-1.979959919839679339e+00 2.250058020073397280e+00 4.380541420465040581e+00 -2.147193059145372285e+00
-1.975951903807615206e+00 2.255144771675777537e+00 4.393234873829385378e+00 -2.149349239185506910e+00
-1.971943887775551074e+00 2.260231523278157795e+00 4.405928327193730176e+00 -2.151505419225641980e+00
-1.967935871743486942e+00 2.265318274880538052e+00 4.418621780558074974e+00 -2.153661599265777049e+00
-1.963927855711422810e+00 2.270405026482918753e+00 4.431315233922419772e+00 -2.155817779305912119e+00
-1.959919839679358677e+00 2.275489255525397603e+00 4.444006740250784127e+00 -2.157965454281007833e+00
-1.955911823647294545e+00 2.280449879132715019e+00 4.456602841816095228e+00 -2.159696381069192928e+00
-1.951903807615230413e+00 2.285410502740031990e+00 4.469198943381406330e+00 -2.161427307857378022e+00
-1.947895791583166281e+00 2.290371126347349406e+00 4.481795044946717432e+00 -2.163158234645563116e+00
-1.943887775551102148e+00 2.295331749954666822e+00 4.494391146512028534e+00 -2.164889161433748210e+00
-1.939879759519038016e+00 2.300286776965965618e+00 4.506989449023107497e+00 -2.166612802406188809e+00
-1.935871743486973884e+00 2.305060847372677024e+00 4.519658915447360314e+00 -2.168100868669551762e+00
-1.931863727454909752e+00 2.309834917779388874e+00 4.532328381871614020e+00 -2.169588934932914714e+00
-1.927855711422845619e+00 2.314608988186100280e+00 4.544997848295866838e+00 -2.171077001196277223e+00
-1.923847695390781487e+00 2.319383058592811686e+00 4.557667314720119656e+00 -2.172565067459640176e+00
-1.919839679358717355e+00 2.324147249863277143e+00 4.570346544405049727e+00 -2.174050715011095480e+00
-1.915831663326653223e+00 2.328674341863840258e+00 4.583260092346220560e+00 -2.175478313476764125e+00
-1.911823647294589090e+00 2.333201433864403374e+00 4.596173640287391393e+00 -2.176905911942432326e+00
-1.907815631262524958e+00 2.337728525864966489e+00 4.609087188228562226e+00 -2.178333510408100970e+00
-1.903807615230460826e+00 2.342255617865529604e+00 4.622000736169733059e+00 -2.179761108873769615e+00
-1.899799599198396916e+00 2.346767339685507991e+00 4.634935024019648075e+00 -2.181194803585909892e+00
-1.895791583166332561e+00 2.350987028074380980e+00 4.648263370135714112e+00 -2.182744326981012062e+00
-1.891783567134268651e+00 2.355206716463253080e+00 4.661591716251777484e+00 -2.184293850376114232e+00
-1.887775551102204519e+00 2.359426404852125625e+00 4.674920062367842633e+00 -2.185843373771216402e+00
-1.883767535070140386e+00 2.363646093240998169e+00 4.688248408483907781e+00 -2.187392897166319017e+00
-1.879759519038076254e+00 2.367845505424830410e+00 4.701609732614463688e+00 -2.188957438878878836e+00
-1.875751503006012122e+00 2.371727257063035221e+00 4.715487712305377777e+00 -2.190757267564940491e+00
-1.871743486973947990e+00 2.375609008701240032e+00 4.729365691996292753e+00 -2.192557096251002147e+00
-1.867735470941883857e+00 2.379490760339444844e+00 4.743243671687206842e+00 -2.194356924937063802e+00
-1.863727454909819725e+00 2.383372511977649655e+00 4.757121651378121818e+00 -2.196156753623125457e+00
-1.859719438877755593e+00 2.387236840502217738e+00 4.771037497145027118e+00 -2.197967966842492515e+00
-1.855711422845691461e+00 2.390869690517040347e+00 4.785456420778666953e+00 -2.199930431718631674e+00
-1.851703406813627328e+00 2.394502540531862955e+00 4.799875344412306788e+00 -2.201892896594770832e+00
-1.847695390781563196e+00 2.398135390546685564e+00 4.814294268045945735e+00 -2.203855361470909990e+00
-1.843687374749499064e+00 2.401768240561508172e+00 4.828713191679585570e+00 -2.205817826347049149e+00
-1.839679358717434932e+00 2.405390692621968363e+00 4.843171825157432053e+00 -2.207781967601075923e+00
-1.835671342685370799e+00 2.408893568207259861e+00 4.858087121843650991e+00 -2.209765387200809172e+00
-1.831663326653306667e+00 2.412396443792550915e+00 4.873002418529870816e+00 -2.211748806800541978e+00
-1.827655310621242535e+00 2.415899319377842414e+00 4.887917715216090642e+00 -2.213732226400274783e+00
-1.823647294589178403e+00 2.419402194963133912e+00 4.902833011902310467e+00 -2.215715646000007588e+00
-1.819639278557114270e+00 2.422904076297213827e+00 4.917788970783149693e+00 -2.217688200192880377e+00
-1.815631262525050138e+00 2.426395904646824864e+00 4.933156069631803753e+00 -2.219550893049722973e+00
-1.811623246492986006e+00 2.429887732996435901e+00 4.948523168480457812e+00 -2.221413585906565569e+00
-1.807615230460921874e+00 2.433379561346046938e+00 4.963890267329112760e+00 -2.223276278763408165e+00
-1.803607214428857741e+00 2.436871389695657975e+00 4.979257366177766819e+00 -2.225138971620250761e+00
-1.799599198396793609e+00 2.440374006041086119e+00 4.994665188153650348e+00 -2.226975423656155417e+00
-1.795591182364729477e+00 2.443973714348867787e+00 5.010439518274594661e+00 -2.228575708303623948e+00
-1.791583166332665344e+00 2.447573422656649011e+00 5.026213848395538975e+00 -2.230175992951092034e+00
-1.787575150300601212e+00 2.451173130964430680e+00 5.041988178516484176e+00 -2.231776277598560565e+00
-1.783567134268537080e+00 2.454772839272212348e+00 5.057762508637428489e+00 -2.233376562246028652e+00
-1.779559118236472948e+00 2.458396008306522162e+00 5.073580570674171675e+00 -2.234937431952291664e+00
-1.775551102204408815e+00 2.462208995946379542e+00 5.089752463666006754e+00 -2.236179398952440778e+00
-1.771543086172344683e+00 2.466021983586236477e+00 5.105924356657842722e+00 -2.237421365952589891e+00
-1.767535070140280551e+00 2.469834971226093412e+00 5.122096249649678690e+00 -2.238663332952739005e+00
-1.763527054108216419e+00 2.473647958865950791e+00 5.138268142641514657e+00 -2.239905299952888118e+00
-1.759519038076152286e+00 2.477492694596951317e+00 5.154503336164287575e+00 -2.241114730276504208e+00
-1.755511022044088154e+00 2.481570249663004546e+00 5.171202733580600786e+00 -2.242085558305545678e+00
-1.751503006012024022e+00 2.485647804729057331e+00 5.187902130996913996e+00 -2.243056386334586705e+00
-1.747494989979959890e+00 2.489725359795110116e+00 5.204601528413227207e+00 -2.244027214363628175e+00
-1.743486973947895757e+00 2.493802914861163345e+00 5.221300925829540418e+00 -2.244998042392669646e+00
-1.739478957915831625e+00 2.497919772528264470e+00 5.238090328546538998e+00 -2.245950905947084131e+00
-1.735470941883767493e+00 2.502299655294687675e+00 5.255482074429663086e+00 -2.246783545709767793e+00
-1.731462925851703361e+00 2.506679538061111323e+00 5.272873820312787174e+00 -2.247616185472451455e+00
-1.727454909819639228e+00 2.511059420827534527e+00 5.290265566195910374e+00 -2.248448825235134674e+00
-1.723446893787575096e+00 2.515439303593958176e+00 5.307657312079034462e+00 -2.249281464997818336e+00
-1.719438877755510964e+00 2.519866798676817510e+00 5.325169064913438000e+00 -2.250113371501877069e+00
-1.715430861723446831e+00 2.524586769417785703e+00 5.343418003305704822e+00 -2.250940773702953202e+00
-1.711422845691382921e+00 2.529306740158753453e+00 5.361666941697970756e+00 -2.251768175904029778e+00
-1.707414829659318567e+00 2.534026710899722090e+00 5.379915880090238467e+00 -2.252595578105105911e+00
-1.703406813627254657e+00 2.538746681640689840e+00 5.398164818482504401e+00 -2.253422980306182488e+00
-1.699398797595190302e+00 2.543523329618966322e+00 5.416567062357493079e+00 -2.254269539478729989e+00
