HVS,source_id,vhelio,pmra,pmdec,dhelio,pMW,pLMC,log_z_MW
1,577294697514301440,"831.10 ± 5.70","-0.60 ± 0.60","-0.47 ± 0.39","102.24 ± 14.60",0.72,0.12,-0.49
4,699811079173836928,"600.90 ± 6.20","-0.20 ± 0.26","-0.60 ± 0.19","63.80 ± 9.70",0.92,0.01,-2.6
5,1069326945513133952,"545.50 ± 4.30","0.00 ± 0.08","-0.99 ± 0.11","44.20 ± 5.09",0.00,0.00,nan
6,3867267443277880320,"609.40 ± 6.80","0.12 ± 0.30","0.12 ± 0.23","55.36 ± 6.88",0.00,0.46,7.0
7,3799146650623432704,"526.90 ± 3.00","-0.09 ± 0.18","0.02 ± 0.13","52.17 ± 6.25",0.00,0.49,27.0
8,633599760258827776,"499.30 ± 2.90","-0.88 ± 0.16","-0.28 ± 0.14","53.19 ± 9.80",0.00,0.00,-53.0
9,3830584196322129920,"616.80 ± 5.10","0.26 ± 0.43","-0.81 ± 0.65","74.10 ± 11.60",0.44,0.77,-0.13
10,3926757653770374272,"467.90 ± 5.60","-1.09 ± 0.45","-0.99 ± 0.21","51.76 ± 5.72",0.57,0.80,-0.38
12,3809777626689513216,"552.20 ± 6.60","0.93 ± 0.88","-0.19 ± 0.58","64.83 ± 8.36",0.17,0.33,0.18
13,3804790100211231104,"569.30 ± 6.10","0.07 ± 0.79","-0.20 ± 0.63","105.58 ± 19.45",0.54,0.42,0.098
14,3859275333773935488,"537.30 ± 7.20","-2.17 ± 1.38","2.28 ± 1.68","102.66 ± 16.55",0.00,0.00,0.55
15,3794074603484360704,"461.00 ± 6.30","-1.30 ± 0.36","-0.48 ± 0.23","66.16 ± 9.75",0.02,0.45,0.15
16,3708104343359742848,"429.80 ± 7.00","-1.29 ± 0.50","-0.54 ± 0.29","70.93 ± 11.43",0.37,0.73,-0.22
17,1407293627068696192,"250.20 ± 2.90","-1.13 ± 0.09","-0.93 ± 0.10","49.82 ± 3.90",0.00,0.00,nan
18,2872564390598678016,"237.30 ± 6.40","0.01 ± 0.34","-0.24 ± 0.32","77.34 ± 10.68",0.71,0.00,-1.0
19,3911105521632982400,"592.80 ± 11.80","0.52 ± 1.08","-0.98 ± 1.14","97.32 ± 15.24",0.23,0.14,0.29
20,3800802102817768832,"512.10 ± 8.50","-0.18 ± 0.66","-0.99 ± 0.56","75.40 ± 10.76",0.60,0.71,0.14
21,834069905715968640,"356.80 ± 7.50","-0.20 ± 0.41","-0.65 ± 0.65","72.11 ± 13.95",0.85,0.66,-0.59
22,3897063727354575488,"597.80 ± 13.40","0.07 ± 0.87","-0.59 ± 0.67","83.98 ± 13.15",0.62,0.65,0.17
23,2681450921590663296,"259.30 ± 9.80","-1.21 ± 1.29","-2.46 ± 1.50","114.87 ± 20.10",0.00,0.00,-0.26
24,3810351984075984768,"492.50 ± 5.30","0.10 ± 0.31","-0.40 ± 0.26","54.08 ± 7.47",0.05,0.69,0.45
